,State,County,num_hospitals,num_acute_care_hospitals,avg_acute_care_rating
336,IL,COOK,49,45,2.6666666666666665
337,IL,DEKALB,2,1,3.0
338,IL,DUPAGE,6,6,4.0
339,IL,EFFINGHAM,1,1,4.0
340,IL,FULTON,1,1,3.0
341,IL,GRUNDY,1,1,3.0
342,IL,IROQUOIS,1,1,2.0
343,IL,JACKSON,2,1,2.0
344,IL,JEFFERSON,2,2,3.0
345,IL,JERSEY,1,1,4.0
346,IL,KANE,5,5,4.4
347,IL,KANKAKEE,2,2,3.5
348,IL,KNOX,2,2,3.0
349,IL,LA SALLE,3,2,3.0
350,IL,LAKE,6,5,4.0
351,IL,LEE,1,1,4.0
352,IL,LIVINGSTON,1,1,4.0
353,IL,MACON,2,2,4.0
354,IL,MADISON,5,4,2.5
355,IL,MARION,2,1,5.0
356,IL,MCDONOUGH,1,1,3.0
357,IL,MCHENRY,3,2,4.5
358,IL,MCLEAN,2,2,4.5
359,IL,MORGAN,1,1,3.0
360,IL,PEORIA,3,3,2.6666666666666665
361,IL,RICHLAND,1,1,3.0
362,IL,ROCK ISLAND,2,2,2.5
363,IL,SAINT CLAIR,4,3,2.6666666666666665
364,IL,SALINE,2,1,2.0
365,IL,SANGAMON,2,2,2.5
366,IL,SHELBY,1,1,4.0
367,IL,STEPHENSON,1,1,3.0
368,IL,TAZEWELL,2,1,2.0
369,IL,VERMILION,2,1,4.0
370,IL,WHITESIDE,2,1,4.0
371,IL,WILL,3,3,3.0
372,IL,WILLIAMSON,2,2,2.5
373,IL,WINNEBAGO,3,3,2.3333333333333335
374,IN,ALLEN,6,4,2.75
375,IN,BARTHOLOMEW,1,1,4.0
376,IN,BOONE,1,1,4.0
377,IN,CASS,1,1,4.0
378,IN,CLARK,2,2,2.0
379,IN,DAVIESS,1,1,4.0
380,IN,DE KALB,1,1,3.0
381,IN,DEARBORN,1,1,3.0
382,IN,DELAWARE,1,1,4.0
383,IN,DUBOIS,1,1,5.0
384,IN,ELKHART,2,2,3.0
385,IN,FAYETTE,1,1,3.0
386,IN,FLOYD,2,2,3.5
387,IN,GRANT,1,1,3.0
388,IN,HAMILTON,6,6,4.5
389,IN,HANCOCK,1,1,3.0
390,IN,HENDRICKS,2,2,5.0
391,IN,HENRY,1,1,5.0
392,IN,HOWARD,2,2,3.5
393,IN,HUNTINGTON,1,1,4.0
394,IN,JACKSON,1,1,5.0
395,IN,JEFFERSON,1,1,4.0
396,IN,JOHNSON,1,1,4.0
397,IN,KNOX,1,1,4.0
398,IN,KOSCIUSKO,1,1,3.0
399,IN,LA PORTE,2,2,3.0
400,IN,LAKE,9,9,3.5555555555555554
401,IN,MADISON,3,2,3.0
402,IN,MARION,9,7,3.4285714285714284
403,IN,MARSHALL,2,1,4.0
404,IN,MONROE,2,2,4.0
405,IN,MONTGOMERY,1,1,4.0
406,IN,MORGAN,1,1,5.0
407,IN,NOBLE,1,1,4.0
408,IN,PORTER,1,1,4.0
409,IN,SHELBY,1,1,4.0
410,IN,ST JOSEPH,3,2,4.0
411,IN,STARKE,1,1,4.0
412,IN,TIPPECANOE,2,2,4.0
413,IN,VANDERBURGH,2,2,2.5
414,IN,VIGO,2,2,2.0
415,IN,WARRICK,3,2,4.5
416,IN,WAYNE,1,1,4.0
417,IN,WELLS,1,1,4.0
418,IN,WHITLEY,1,1,4.0
419,KS,BARTON,3,1,4.0
420,KS,BOURBON,1,1,3.0
421,KS,BUTLER,2,2,4.0
422,KS,CHEROKEE,2,1,5.0
423,KS,COWLEY,2,1,3.0
424,KS,CRAWFORD,2,1,2.0
425,KS,DOUGLAS,1,1,3.0
426,KS,ELLIS,1,1,4.0
427,KS,FINNEY,1,1,2.0
428,KS,FORD,1,1,4.0
429,KS,FRANKLIN,1,1,4.0
430,KS,GEARY,1,1,3.0
431,KS,GRANT,1,1,3.0
432,KS,HARVEY,1,1,4.0
433,KS,JOHNSON,10,5,3.6
434,KS,LABETTE,2,1,5.0
435,KS,LEAVENWORTH,2,2,4.0
436,KS,MCPHERSON,3,2,4.0
437,KS,MIAMI,1,1,4.0
438,KS,MONTGOMERY,1,1,3.0
439,KS,MORTON,1,1,3.0
440,KS,PRATT,1,1,4.0
441,KS,RENO,2,1,2.0
442,KS,RILEY,2,2,4.0
443,KS,SALINE,2,2,4.0
444,KS,SEDGWICK,6,4,4.0
445,KS,SEWARD,1,1,4.0
446,KS,SHAWNEE,2,2,2.5
447,KS,SUMNER,2,1,3.0
448,KS,WYANDOTTE,2,2,4.5
449,KY,ADAIR,1,1,3.0
450,KY,BARREN,1,1,2.0
451,KY,BELL,2,2,2.5
452,KY,BOONE,1,1,2.0
453,KY,BOURBON,1,1,3.0
454,KY,BOYD,2,2,2.0
455,KY,BOYLE,1,1,3.0
456,KY,BREATHITT,1,1,2.0
457,KY,CALLOWAY,1,1,3.0
458,KY,CAMPBELL,1,1,3.0
459,KY,CHRISTIAN,1,1,2.0
460,KY,CLARK,1,1,3.0
461,KY,CLAY,1,1,4.0
462,KY,CLINTON,1,1,2.0
463,KY,CRITTENDEN,1,1,3.0
464,KY,DAVIESS,1,1,4.0
465,KY,FAYETTE,4,4,3.0
466,KY,FLEMING,1,1,3.0
467,KY,FLOYD,3,1,1.0
468,KY,FRANKLIN,1,1,4.0
469,KY,GRAVES,1,1,3.0
470,KY,GRAYSON,1,1,4.0
